ComunaID,ComunaNombre,ProvinciaID
164,'Pumanque',29
165,'San Fernando',29
166,'Santa Cruz',29
167,'Cauquenes',30
168,'Chanco',30
169,'Pelluhue',30
170,'Curicó',31
171,'Hualañé',31
172,'Licantén',31
173,'Molina',31
174,'Rauco',31
175,'Romeral',31
176,'Sagrada Familia',31
177,'Teno',31
178,'Vichuquén',31
179,'Colbún',32
180,'Linares',32
181,'Longaví',32
182,'Parral',32
183,'Retiro',32
184,'San Javier',32
185,'Villa Alegre',32
186,'Yerbas Buenas',32
187,'Constitución',33
188,'Curepto',33
189,'Empedrado',33
190,'Maule',33
191,'Pelarco',33
192,'Pencahue',33
193,'Río Claro',33
194,'San Clemente',33
195,'San Rafael',33
196,'Talca',33
197,'Arauco',34
198,'Cañete',34
199,'Contulmo',34
200,'Curanilahue',34
201,'Lebu',34
202,'Los Álamos',34
203,'Tirúa',34
204,'Alto Biobío',35
205,'Antuco',35
206,'Cabrero',35
207,'Laja',35
208,'Los Ángeles',35
209,'Mulchén',35
210,'Nacimiento',35
211,'Negrete',35
212,'Quilaco',35
213,'Quilleco',35
214,'San Rosendo',35
215,'Santa Bárbara',35
216,'Tucapel',35
217,'Yumbel',35
218,'Chiguayante',36
219,'Concepción',36
220,'Coronel',36
221,'Florida',36
222,'Hualpén',36
223,'Hualqui',36
224,'Lota',36
225,'Penco',36
226,'San Pedro de La Paz',36
227,'Santa Juana',36
228,'Talcahuano',36
229,'Tomé',36
230,'Bulnes',37
231,'Chillán',37
232,'Chillán Viejo',37
233,'Cobquecura',37
234,'Coelemu',37
235,'Coihueco',37
236,'El Carmen',37
237,'Ninhue',37
238,'Ñiquen',37
239,'Pemuco',37
240,'Pinto',37
241,'Portezuelo',37
242,'Quillón',37
243,'Quirihue',37
244,'Ránquil',37
245,'San Carlos',37
246,'San Fabián',37
247,'San Ignacio',37
248,'San Nicolás',37
249,'Treguaco',37
250,'Yungay',37
251,'Carahue',38
252,'Cholchol',38
253,'Cunco',38
254,'Curarrehue',38
255,'Freire',38
256,'Galvarino',38
257,'Gorbea',38
258,'Lautaro',38
259,'Loncoche',38
260,'Melipeuco',38
261,'Nueva Imperial',38
262,'Padre Las Casas',38
263,'Perquenco',38
264,'Pitrufquén',38
265,'Pucón',38
266,'Saavedra',38
267,'Temuco',38
268,'Teodoro Schmidt',38
269,'Toltén',38
270,'Vilcún',38
271,'Villarrica',38
272,'Angol',39
273,'Collipulli',39
274,'Curacautín',39
275,'Ercilla',39
276,'Lonquimay',39
277,'Los Sauces',39
278,'Lumaco',39
279,'Purén',39
280,'Renaico',39
281,'Traiguén',39
282,'Victoria',39
283,'Corral',40
284,'Lanco',40
285,'Los Lagos',40
286,'Máfil',40
287,'Mariquina',40
288,'Paillaco',40
289,'Panguipulli',40
290,'Valdivia',40
291,'Futrono',41
292,'La Unión',41
293,'Lago Ranco',41
294,'Río Bueno',41
295,'Ancud',42
296,'Castro',42
297,'Chonchi',42
298,'Curaco de Vélez',42
299,'Dalcahue',42
300,'Puqueldón',42
301,'Queilén',42
302,'Quemchi',42
303,'Quellón',42
304,'Quinchao',42
305,'Calbuco',43
306,'Cochamó',43
307,'Fresia',43
308,'Frutillar',43
309,'Llanquihue',43
310,'Los Muermos',43
311,'Maullín',43
312,'Puerto Montt',43
313,'Puerto Varas',43
314,'Osorno',44
315,'Puero Octay',44
316,'Purranque',44
317,'Puyehue',44
318,'Río Negro',44
319,'San Juan de la Costa',44
320,'San Pablo',44
321,'Chaitén',45
322,'Futaleufú',45
323,'Hualaihué',45
324,'Palena',45
325,'Aisén',46
326,'Cisnes',46
327,'Guaitecas',46
328,'Cochrane',47
329,'O\'higgins',47
330,'Tortel',47
331,'Coihaique',48
332,'Lago Verde',48
333,'Chile Chico',49
334,'Río Ibáñez',49
335,'Antártica',50
336,'Cabo de Hornos',50
337,'Laguna Blanca',51
338,'Punta Arenas',51
339,'Río Verde',51
340,'San Gregorio',51
341,'Porvenir',52
342,'Primavera',52
343,'Timaukel',52
344,'Natales',53
345,'Torres del Paine',53
