Mes,Tipo Atención,Motivo,Sexo,Edad,Comuna del solicitante
enero,Telefónico,Consulta,F,28,QUILICURA
enero,Telefónico,Consulta,M,30,PUDAHUEL
enero,Telefónico,Consulta,F,23,LA CISTERNA
enero,Presencial,Consulta,M,34,CONCHALI
enero,Presencial,Consulta,F,62,PUENTE ALTO
enero,Telefónico,Consulta,M,21,MELIPILLA
enero,Presencial,Consulta,F,39,CORONEL
enero,Presencial,Consulta,M,54,MAIPU
enero,Telefónico,Consulta,F,No informa edad,TALAGANTE
enero,Telefónico,Consulta,F,43,CURICO
enero,Presencial,Consulta,F,57,LA PINTANA
enero,Presencial,Consulta,F,18,PUENTE ALTO
enero,Virtual,Reclamo,F,48,QUINTERO
enero,Presencial,Consulta,F,44,MAIPU
enero,Presencial,Consulta,M,78,MAIPU
enero,Presencial,Consulta,M,39,MAIPU
enero,Presencial,Consulta,M,39,LAS CONDES
enero,Presencial,Consulta,F,39,RECOLETA
enero,Presencial,Consulta,F,8,LA GRANJA
enero,Presencial,Consulta,F,33,PUDAHUEL
enero,Presencial,Consulta,F,4,SAN PEDRO DE LA PAZ
enero,Presencial,Consulta,M,39,RECOLETA
enero,Presencial,Consulta,M,5,PUENTE ALTO
enero,Presencial,Consulta,M,24,RENCA
enero,Presencial,Consulta,M,25,TALCAHUANO
enero,Presencial,Consulta,F,74,SANTIAGO
enero,Presencial,Consulta,F,32,SANTIAGO
enero,Presencial,Consulta,F,30,LA FLORIDA
enero,Presencial,Consulta,M,44,BUIN
enero,Presencial,Consulta,M,47,LA GRANJA
enero,Presencial,Consulta,F,79,MACUL
enero,Presencial,Consulta,F,37,COLINA
enero,Telefónico,Consulta,F,23,PENALOLEN
enero,Presencial,Consulta,M,32,VALPARAISO
enero,Presencial,Consulta,F,60,PUENTE ALTO
enero,Presencial,Consulta,M,41,QUINTA NORMAL
enero,Presencial,Consulta,F,60,CONCHALI
enero,Presencial,Consulta,F,32,LA FLORIDA
enero,Presencial,Consulta,F,5,MAIPU
enero,Presencial,Consulta,M,26,QUILICURA
enero,Presencial,Consulta,F,24,RECOLETA
enero,Presencial,Consulta,M,54,PENALOLEN
enero,Presencial,Consulta,M,66,SAN JAVIER
enero,Presencial,Consulta,F,46,TALCAHUANO
enero,Presencial,Consulta,F,9,TALCAHUANO
enero,Presencial,Consulta,F,19,LA PINTANA
enero,Presencial,Consulta,F,13,LOS MUERMOS
enero,Presencial,Consulta,M,27,LO BARNECHEA
enero,Presencial,Consulta,M,5,TALCAHUANO
enero,Presencial,Consulta,F,20,SAN PEDRO DE LA PAZ
enero,Presencial,Consulta,M,35,CERRO NAVIA
enero,Presencial,Consulta,M,64,MELIPILLA
enero,Presencial,Consulta,M,28,PENALOLEN
enero,Presencial,Consulta,F,57,RENCA
enero,Presencial,Consulta,F,52,CONCHALI
enero,Presencial,Consulta,F,32,PROVIDENCIA
enero,Presencial,Consulta,F,31,SAN RAMON
enero,Presencial,Consulta,M,50,SANTIAGO
enero,Presencial,Consulta,F,40,PAINE
enero,Presencial,Consulta,F,16,CANETE
enero,Presencial,Consulta,M,52,CONCEPCION
enero,Presencial,Consulta,M,26,CERRO NAVIA
enero,Presencial,Consulta,M,52,PUENTE ALTO
enero,Presencial,Consulta,F,23,PUDAHUEL
enero,Presencial,Consulta,M,39,BUIN
enero,Presencial,Consulta,M,30,COLINA
enero,Presencial,Consulta,M,46,OSORNO
enero,Presencial,Consulta,M,27,COLINA
enero,Presencial,Consulta,M,41,PUDAHUEL
enero,Presencial,Consulta,F,55,LA PINTANA
enero,Telefónico,Consulta,F,23,PENALOLEN
enero,Presencial,Consulta,F,45,PENALOLEN
enero,Presencial,Consulta,M,24,QUILICURA
enero,Presencial,Consulta,M,55,PROVIDENCIA
enero,Presencial,Consulta,M,25,MELIPILLA
enero,Telefónico,Consulta,M,40,NUNOA
enero,Presencial,Consulta,F,16,PENALOLEN
enero,Presencial,Consulta,F,37,TALCAHUANO
enero,Presencial,Consulta,M,34,PUENTE ALTO
enero,Presencial,Consulta,M,20,PUENTE ALTO
enero,Presencial,Consulta,F,27,PUNTA ARENAS
enero,Presencial,Consulta,M,26,TALAGANTE
enero,Presencial,Consulta,F,18,LAS CONDES
enero,Presencial,Consulta,F,58,PENALOLEN
enero,Presencial,Consulta,M,66,RENCA
enero,Presencial,Consulta,M,20,NUNOA
enero,Presencial,Consulta,M,37,RENCA
enero,Presencial,Consulta,M,2,MELIPILLA
enero,Presencial,Consulta,M,36,FRUTILLAR
enero,Presencial,Consulta,M,30,CERRO NAVIA
enero,Presencial,Consulta,F,51,LO BARNECHEA
enero,Presencial,Consulta,F,55,CERRO NAVIA
enero,Presencial,Consulta,F,40,LA FLORIDA
enero,Presencial,Consulta,M,58,CONCHALI
enero,Presencial,Consulta,M,12,OSORNO
enero,Presencial,Consulta,M,31,LAMPA
enero,Presencial,Consulta,M,29,CONCHALI
enero,Presencial,Consulta,M,15,NUNOA
enero,Presencial,Consulta,M,55,SAN JUAN DE LA COSTA
enero,Telefónico,Consulta,M,22,SAN JOAQUIN
enero,Presencial,Consulta,M,42,LA FLORIDA
enero,Presencial,Consulta,M,82,SAN BERNARDO
enero,Presencial,Consulta,F,71,EL BOSQUE
enero,Presencial,Consulta,F,26,MELIPILLA
enero,Presencial,Consulta,M,53,RENCA
enero,Presencial,Consulta,F,42,TOME
enero,Presencial,Consulta,M,67,QUINTA NORMAL
enero,Presencial,Consulta,F,38,MAIPU
enero,Presencial,Consulta,M,25,NUNOA
enero,Telefónico,Consulta,F,33,SAN MIGUEL
enero,Presencial,Consulta,M,46,TOME
enero,Presencial,Consulta,F,58,MAIPU
enero,Presencial,Consulta,M,47,HUELPEN
enero,Presencial,Consulta,M,26,SAN RAMON
enero,Presencial,Consulta,F,34,SAN MIGUEL
enero,Presencial,Consulta,F,23,TOME
enero,Presencial,Consulta,M,34,COPIAPO
enero,Presencial,Consulta,M,66,RENCA
enero,Presencial,Consulta,F,65,EL BOSQUE
enero,Presencial,Consulta,F,61,LAS CONDES
enero,Presencial,Consulta,F,14,RECOLETA
enero,Presencial,Consulta,M,59,PUDAHUEL
enero,Presencial,Consulta,F,9,ANCUD
enero,Presencial,Consulta,M,25,COPIAPO
enero,Presencial,Consulta,M,37,NANCAGUA
enero,Presencial,Consulta,M,25,SANTIAGO
enero,Presencial,Consulta,M,36,VINA DEL MAR
enero,Presencial,Consulta,M,18,CALAMA
enero,Presencial,Consulta,F,54,LOTA
enero,Presencial,Consulta,F,56,RECOLETA
enero,Presencial,Consulta,M,48,CERRO NAVIA
enero,Presencial,Consulta,M,20,TIERRA AMARILLA
enero,Presencial,Consulta,M,36,MAIPU
enero,Presencial,Consulta,M,76,LAS CONDES
enero,Presencial,Consulta,F,24,QUILICURA
enero,Presencial,Consulta,M,50,LO ESPEJO
enero,Presencial,Consulta,F,43,PUENTE ALTO
enero,Presencial,Consulta,M,22,VALLENAR
enero,Presencial,Consulta,M,25,TIERRA AMARILLA
enero,Presencial,Consulta,F,37,COLINA
enero,Presencial,Consulta,M,37,PUDAHUEL
enero,Presencial,Consulta,M,48,ESTACION CENTRAL
enero,Presencial,Consulta,F,26,LA FLORIDA
enero,Presencial,Consulta,M,25,PENALOLEN
enero,Presencial,Consulta,M,21,SANTA JUANA
enero,Presencial,Consulta,M,66,SAN JAVIER
enero,Presencial,Consulta,M,23,ESTACION CENTRAL
enero,Presencial,Consulta,F,59,ISLA DE MAIPO
enero,Presencial,Consulta,M,54,SAN BERNARDO
enero,Presencial,Consulta,F,45,SAN BERNARDO
enero,Presencial,Consulta,F,57,VILLA ALEMANA
enero,Telefónico,Consulta,F,69,PENAFLOR
enero,Presencial,Consulta,M,41,QUILICURA
enero,Presencial,Consulta,M,25,QUILICURA
enero,Presencial,Consulta,M,45,LO PRADO
enero,Presencial,Consulta,F,33,LO BARNECHEA
enero,Presencial,Consulta,M,24,INDEPENDENCIA
enero,Presencial,Consulta,F,69,LAS CONDES
enero,Presencial,Consulta,M,60,VITACURA
enero,Presencial,Consulta,M,81,SANTIAGO
enero,Presencial,Consulta,F,60,LA FLORIDA
enero,Presencial,Consulta,M,26,MAIPU
enero,Presencial,Consulta,F,53,MAIPU
enero,Telefónico,Consulta,F,23,PENALOLEN
enero,Presencial,Consulta,M,81,SANTIAGO
enero,Presencial,Consulta,M,56,MAIPU
enero,Presencial,Consulta,F,29,PUENTE ALTO
enero,Presencial,Consulta,M,52,SANTIAGO
enero,Presencial,Consulta,F,43,SAN JOAQUIN
enero,Presencial,Consulta,F,50,PROVIDENCIA
enero,Presencial,Consulta,M,69,EL BOSQUE
enero,Presencial,Consulta,F,39,MAIPU
enero,Presencial,Consulta,F,18,CONCEPCION
enero,Presencial,Consulta,M,44,CHILLAN
enero,Presencial,Consulta,F,52,VALLENAR
enero,Presencial,Consulta,M,36,MAIPU
enero,Presencial,Consulta,M,46,MAIPU
enero,Presencial,Consulta,M,26,AYSEN
enero,Presencial,Consulta,M,29,CONCEPCION
enero,Presencial,Consulta,F,22,AYSEN
enero,Presencial,Consulta,M,2,AYSEN
enero,Telefónico,Consulta,M,No informa edad,PENAFLOR
enero,Presencial,Consulta,F,39,TOME
enero,Virtual,Consulta,M,35,TALCA
enero,Presencial,Consulta,M,45,PENAFLOR
enero,Presencial,Consulta,M,37,NUNOA
enero,Telefónico,Consulta,F,23,MELIPILLA
enero,Presencial,Consulta,M,42,MAIPU
enero,Presencial,Consulta,M,73,QUILICURA
enero,Presencial,Consulta,F,54,LAS CONDES
enero,Presencial,Consulta,F,21,COPIAPO
enero,Presencial,Consulta,F,43,LA CISTERNA
enero,Telefónico,Consulta,F,23,TALAGANTE
enero,Presencial,Consulta,M,40,CHIGUAYANTE
enero,Presencial,Consulta,M,34,CALERA DE TANGO
enero,Presencial,Consulta,M,43,ARAUCO
enero,Presencial,Consulta,F,10,CERRO NAVIA
enero,Presencial,Consulta,M,52,LAS CONDES
enero,Presencial,Consulta,M,55,ESTACION CENTRAL
enero,Presencial,Consulta,M,11,CONCEPCION
enero,Presencial,Consulta,F,51,QUILICURA
enero,Presencial,Consulta,M,18,BUIN
enero,Presencial,Consulta,M,5,PUDAHUEL
enero,Presencial,Consulta,M,15,PENAFLOR
enero,Presencial,Consulta,F,57,CERRO NAVIA
enero,Presencial,Consulta,F,28,AYSEN
enero,Presencial,Consulta,M,30,PUENTE ALTO
enero,Presencial,Consulta,F,27,PUENTE ALTO
enero,Presencial,Consulta,F,23,COLINA
enero,Presencial,Consulta,M,2,PUENTE ALTO
enero,Presencial,Consulta,F,10,PUENTE ALTO
enero,Presencial,Consulta,F,69,PENAFLOR
enero,Presencial,Consulta,F,43,PAINE
enero,Presencial,Consulta,F,14,CHIGUAYANTE
enero,Presencial,Consulta,M,30,RECOLETA
enero,Presencial,Consulta,F,49,LAMPA
enero,Presencial,Consulta,F,44,PENALOLEN
enero,Presencial,Consulta,F,82,CONCEPCION
enero,Presencial,Consulta,M,3,PUENTE ALTO
enero,Presencial,Consulta,F,13,PUENTE ALTO
enero,Presencial,Consulta,F,3,SAN PEDRO DE LA PAZ
enero,Presencial,Consulta,M,67,RECOLETA
enero,Presencial,Consulta,M,29,SANTIAGO
enero,Virtual,Consulta,M,40,IQUIQUE
enero,Presencial,Consulta,M,45,PUNTA ARENAS
enero,Presencial,Consulta,F,30 - 39,LA REINA
enero,Presencial,Consulta,F,33,OSORNO
enero,Presencial,Consulta,M,25,LO PRADO
enero,Presencial,Consulta,M,51,LO PRADO
enero,Presencial,Consulta,M,47,LA GRANJA
enero,Presencial,Consulta,F,22,SAN MIGUEL
enero,Presencial,Consulta,M,48,MELIPILLA
enero,Presencial,Consulta,F,40,MACUL
enero,Presencial,Consulta,F,52,CONCHALI
enero,Presencial,Consulta,F,34,EL MONTE
enero,Presencial,Consulta,M,31,sin indicar
enero,Presencial,Consulta,F,27,SANTIAGO
enero,Presencial,Consulta,F,43,PUENTE ALTO
enero,Presencial,Consulta,F,29,MAIPU
enero,Presencial,Consulta,F,66,PENAFLOR
enero,Presencial,Consulta,F,44,CERRO NAVIA
enero,Presencial,Consulta,F,58,CERRILLOS
enero,Presencial,Consulta,M,18,PENALOLEN
enero,Presencial,Consulta,F,17,LA GRANJA
enero,Presencial,Consulta,M,62,CORONEL
enero,Presencial,Consulta,M,60,NUNOA
enero,Presencial,Consulta,F,41,TALCAHUANO
enero,Presencial,Consulta,F,22,PENALOLEN
enero,Presencial,Consulta,M,56,EL BOSQUE
enero,Presencial,Consulta,F,31,MAIPU
enero,Presencial,Consulta,M,21,LAS CONDES
enero,Presencial,Consulta,F,60,PENAFLOR
enero,Presencial,Consulta,F,61,LAS CONDES
enero,Telefónico,Consulta,F,27,LA FLORIDA
enero,Presencial,Consulta,F,16,MELIPILLA
enero,Presencial,Consulta,F,38,CONCHALI
enero,Presencial,Consulta,F,14,RECOLETA
enero,Presencial,Consulta,F,45,Seleccione
enero,Presencial,Consulta,F,37,SAN RAMON
enero,Presencial,Consulta,F,11,CHILLAN
enero,Presencial,Consulta,M,33,LAS CONDES
enero,Presencial,Consulta,M,42,PUENTE ALTO
enero,Presencial,Consulta,F,37,MAIPU
enero,Presencial,Consulta,F,57,PUENTE ALTO
enero,Presencial,Consulta,F,17,MAIPU
enero,Presencial,Consulta,M,12,MAIPU
enero,Presencial,Consulta,M,35,LOTA
enero,Presencial,Consulta,M,22,MACUL
enero,Presencial,Consulta,M,24,PUENTE ALTO
enero,Presencial,Consulta,F,33,CONCHALI
enero,Presencial,Consulta,F,25,RECOLETA
enero,Presencial,Consulta,M,26,PENALOLEN
enero,Presencial,Consulta,F,16,LO BARNECHEA
enero,Presencial,Consulta,M,35,MELIPILLA
enero,Presencial,Consulta,M,38,PUENTE ALTO
enero,Presencial,Consulta,M,49,SANTIAGO
enero,Presencial,Consulta,M,47,PUENTE ALTO
enero,Presencial,Consulta,F,19,SANTIAGO
enero,Presencial,Consulta,F,22,CERRO NAVIA
enero,Presencial,Consulta,M,25,PUDAHUEL
enero,Presencial,Consulta,M,20,QUILICURA
enero,Presencial,Consulta,F,18,COLINA
enero,Presencial,Consulta,M,41,PUENTE ALTO
enero,Presencial,Consulta,M,39,NUNOA
enero,Presencial,Consulta,M,60,INDEPENDENCIA
enero,Presencial,Consulta,M,32,AYSEN
enero,Presencial,Consulta,F,55,CHIGUAYANTE
enero,Presencial,Consulta,F,18,CORONEL
enero,Presencial,Consulta,M,38,SANTIAGO
enero,Presencial,Consulta,M,40,OSORNO
enero,Presencial,Consulta,M,51,PROVIDENCIA
enero,Presencial,Consulta,F,53,RECOLETA
enero,Presencial,Consulta,M,22,CONCHALI
enero,Presencial,Consulta,M,43,BUIN
enero,Presencial,Consulta,M,43,OSORNO
enero,Telefónico,Consulta,F,32,TALAGANTE
enero,Presencial,Consulta,M,24,PROVIDENCIA
enero,Presencial,Consulta,M,46,NUNOA
enero,Presencial,Consulta,M,35,LA PINTANA
enero,Presencial,Consulta,F,31,TALAGANTE
enero,Presencial,Consulta,F,30,LAS CONDES
enero,Presencial,Consulta,F,53,MAIPU
enero,Presencial,Consulta,F,55,OSORNO
enero,Presencial,Consulta,F,22,CERRO NAVIA
enero,Presencial,Consulta,M,32,CERRO NAVIA
enero,Presencial,Consulta,F,41,PUDAHUEL
enero,Presencial,Consulta,F,56,SAN JOAQUIN
enero,Presencial,Consulta,F,28,LA FLORIDA
enero,Presencial,Consulta,M,30,CERRILLOS
enero,Presencial,Consulta,M,55,PENALOLEN
enero,Presencial,Consulta,M,22,CONCEPCION
enero,Presencial,Consulta,M,44,OVALLE
enero,Presencial,Consulta,M,41,TIRUA
enero,Presencial,Consulta,F,51,LA FLORIDA
enero,Presencial,Consulta,M,41,QUILICURA
enero,Telefónico,Consulta,M,23,PUDAHUEL
enero,Presencial,Consulta,M,42,SAN BERNARDO
enero,Presencial,Consulta,M,27,SANTIAGO
enero,Presencial,Consulta,M,24,LO ESPEJO
enero,Presencial,Consulta,M,19,COLINA
enero,Presencial,Consulta,F,47,CONCHALI
enero,Presencial,Consulta,F,24,PUENTE ALTO
enero,Presencial,Consulta,M,66,SAN JAVIER
enero,Presencial,Consulta,F,58,PENALOLEN
enero,Presencial,Consulta,F,77,PENALOLEN
enero,Presencial,Consulta,F,49,PENAFLOR
enero,Presencial,Consulta,F,18,LAMPA
enero,Telefónico,Consulta,F,28,MELIPILLA
enero,Presencial,Consulta,F,47,PUDAHUEL
enero,Presencial,Consulta,M,47,PUENTE ALTO
enero,Presencial,Consulta,M,43,CONCEPCION
enero,Presencial,Consulta,M,24,PUDAHUEL
enero,Presencial,Consulta,F,28,PUENTE ALTO
enero,Presencial,Consulta,F,27,SAN BERNARDO
enero,Presencial,Consulta,M,36,CARAHUE
enero,Telefónico,Consulta,F,28,TALAGANTE
enero,Presencial,Consulta,F,53,SAN BERNARDO
enero,Presencial,Consulta,M,24,CONCEPCION
enero,Presencial,Consulta,F,6,CONCEPCION
enero,Telefónico,Consulta,F,28,TALAGANTE
enero,Presencial,Consulta,M,18,SAN PEDRO DE LA PAZ
enero,Presencial,Consulta,M,20,CONCEPCION
enero,Presencial,Consulta,F,44,FREIRINA
enero,Presencial,Consulta,M,14,FREIRINA
enero,Presencial,Consulta,M,64,MELIPILLA
enero,Telefónico,Consulta,F,27,SAN JOAQUIN
enero,Presencial,Consulta,F,62,PUENTE ALTO
enero,Telefónico,Consulta,F,36,TALAGANTE
enero,Presencial,Consulta,M,34,Seleccione
enero,Presencial,Consulta,M,87,TIERRA AMARILLA
enero,Presencial,Consulta,M,40,HUECHURABA
enero,Telefónico,Consulta,F,25,EL BOSQUE
enero,Presencial,Consulta,F,57,TALAGANTE
enero,Presencial,Consulta,F,20,PUDAHUEL
enero,Presencial,Consulta,F,23,RENCA
enero,Presencial,Consulta,M,27,TOME
enero,Telefónico,Consulta,F,37,MAIPU
enero,Presencial,Consulta,F,43,PUDAHUEL
enero,Presencial,Consulta,F,57,LA PINTANA
enero,Presencial,Consulta,F,49,CERRO NAVIA
enero,Virtual,Reclamo,M,39,CHONCHI
enero,Presencial,Consulta,M,38,HUELPEN
enero,Presencial,Consulta,F,30,CONCEPCION
enero,Presencial,Consulta,F,31,RECOLETA
enero,Presencial,Consulta,M,40,LO PRADO
enero,Presencial,Consulta,M,38,LO BARNECHEA
enero,Presencial,Consulta,M,41,PUENTE ALTO
enero,Presencial,Consulta,F,8,SANTIAGO
enero,Presencial,Consulta,F,41,PENALOLEN
enero,Presencial,Consulta,F,28,PUENTE ALTO
enero,Presencial,Consulta,M,14,PADRE HURTADO
enero,Presencial,Consulta,F,61,COPIAPO
enero,Presencial,Consulta,F,41,PADRE HURTADO
enero,Presencial,Consulta,M,23,COPIAPO
enero,Presencial,Consulta,F,34,RECOLETA
enero,Presencial,Consulta,M,42,SAN BERNARDO
enero,Presencial,Consulta,M,35,RECOLETA
enero,Presencial,Consulta,M,59,Seleccione
enero,Presencial,Consulta,M,68,LO PRADO
enero,Presencial,Consulta,F,46,ESTACION CENTRAL
enero,Presencial,Consulta,M,65,COPIAPO
enero,Presencial,Consulta,M,51,CONCEPCION
enero,Presencial,Consulta,F,49,PUDAHUEL
enero,Presencial,Consulta,F,29,PIRQUE
enero,Presencial,Consulta,F,29,SAN BERNARDO
enero,Presencial,Consulta,F,53,PUERTO VARAS
enero,Presencial,Consulta,F,49,ESTACION CENTRAL
enero,Presencial,Consulta,F,65,COYHAIQUE
enero,Presencial,Consulta,F,52,CONCHALI
enero,Presencial,Consulta,M,49,ESTACION CENTRAL
enero,Presencial,Consulta,F,37,SANTIAGO
enero,Presencial,Consulta,F,41,RECOLETA
enero,Presencial,Consulta,F,29,SANTIAGO
enero,Presencial,Consulta,M,44,PUENTE ALTO
enero,Presencial,Consulta,M,32,TALCAHUANO
enero,Presencial,Consulta,F,31,LAMPA
enero,Presencial,Consulta,F,46,LA FLORIDA
enero,Presencial,Consulta,F,28,EL MONTE
enero,Presencial,Consulta,F,19,PENAFLOR
enero,Presencial,Consulta,M,68,MACUL
enero,Presencial,Consulta,F,32,SANTA JUANA
enero,Telefónico,Consulta,M,34,PUENTE ALTO
enero,Presencial,Consulta,M,24,CALBUCO
enero,Presencial,Consulta,F,37,LO ESPEJO
enero,Presencial,Consulta,M,62,PURRANQUE
enero,Presencial,Consulta,F,38,ANTOFAGASTA
enero,Presencial,Consulta,F,4,CORONEL
enero,Presencial,Consulta,F,56,HUECHURABA
enero,Presencial,Consulta,M,24,PROVIDENCIA
enero,Presencial,Consulta,M,30,PUENTE ALTO
enero,Presencial,Consulta,M,51,SAN JOAQUIN
enero,Presencial,Consulta,M,8,LOTA
enero,Presencial,Consulta,F,38,SAN RAMON
